Item code,Sp Code
MASWH_TZ-C04.07,DS_MWH_20230418
MASWH_TZ-C35.05,DS_MWH_20230418
MASWH_TZ-C31.15,DS_MWH_20230418
MASWH_TZ-C28.07,DS_MWH_20230418
MASWH_TZ-C38.08,DS_MWH_20230418
MASWH_TZ-C31.02,DS_MWH_20230418
MASWH_TZ-C13.09,DS_MWH_20230418
MASWH_TZ-C20.04,DS_MWH_20230418
MASWH_TZ-C07.16,DS_MWH_20230418
MASWH_TZ-C08.05,DS_MWH_20230418
MASWH_TZ-C13.01,DS_MWH_20230418
MASWH_TZ-C18.12,DS_MWH_20230418
MASWH_TU-A03.09,DS_MWH_20230418
MASWH_TU-A37.27,DS_MWH_20230418
MASWH_TZ-D22.19,DS_MWH_20230418
MASWH_TZ-D18.07,DS_MWH_20230418
